DataSourceName,DataSourceCode,StationID,ActualStationID,Latitude_DD,Longitude_DD,SampleDate,SampleTime,ActivityDepth,ActivityDepthUnit,Characteristic,ResultValue,ResultUnit,ValueQualifier,ResultComment,WBID,WBIDName,WaterbodyName,SampleDate_Date
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Alkalinity, Total (total hydroxide+carbonate+bicarbonate)",26.80000000,mg/l CaCO3,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Chloride,29.90000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Chlorophyll a, corrected for pheophytin",3.00000000,ug/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Chlorophyll a, uncorrected for pheophytin",5.33000000,ug/l,I,I=result is between MDL and PQL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Phosphorus, phosphate (PO4) as P",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Sulfur, sulfate (SO4) as SO4",36.60000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Total Suspended Solids (TSS),7.20000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,True Color,10.00000000,PCU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Turbidity,4.00000000,NTU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Dissolved oxygen (DO),8.15000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Dissolved oxygen saturation,95.70000000,percent (%),,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,pH,7.55000000,None,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Secchi disk depth,3.28080000,ft,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Specific conductance,243.70000000,umho,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Temperature, water",23.30000000,deg C,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Temperature, water",73.94000000,deg F,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,00:00:00,0.5,,Trophic State Index: Florida DEP,37.00000000,None,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,00:00:00,0.5,m,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.02000000,mg/l,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,00:00:00,0.5,m,Nitrogen,0.94200000,mg/l,,Water Institute Calculated: TKN + NO3,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Nitrogen, ammonia as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Nitrogen, Nitrite (NO2) as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Nitrogen, Nitrate (NO3) as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,"Nitrogen, Kjeldahl",0.93200000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,04/09/2026,08:50:00.000000,0.5,m,Phosphorus as P,0.01600000,mg/l,I,I=result is between MDL and PQL,1539C,LAKE ANNIE,"Annie, Lake (160723)",4/9/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Alkalinity, Total (total hydroxide+carbonate+bicarbonate)",25.50000000,mg/l CaCO3,A,A=result is average of two readings,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Chloride,29.10000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Chlorophyll a, corrected for pheophytin",12.00000000,ug/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Chlorophyll a, uncorrected for pheophytin",13.10000000,ug/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Phosphorus, phosphate (PO4) as P",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Sulfur, sulfate (SO4) as SO4",33.80000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Total Suspended Solids (TSS),5.60000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,True Color,15.00000000,PCU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Turbidity,4.80000000,NTU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Dissolved oxygen (DO),8.63000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Dissolved oxygen saturation,94.20000000,percent (%),,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,pH,7.42000000,None,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Secchi disk depth,3.93696000,ft,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Specific conductance,231.00000000,umho,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Temperature, water",19.40000000,deg C,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Temperature, water",66.92000000,deg F,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,00:00:00,0.5,,Trophic State Index: Florida DEP,53.00000000,None,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Nitrogen, ammonia as N",0.02000000,mg/l,I,I=result is between MDL and PQL,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Nitrogen, Nitrite (NO2) as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Nitrogen, Nitrate (NO3) as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,00:00:00,0.5,m,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.02000000,mg/l,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,"Nitrogen, Kjeldahl",1.06000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,00:00:00,0.5,m,Nitrogen,1.07000000,mg/l,,Water Institute Calculated: TKN + NO3,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,01/14/2026,08:56:00.000000,0.5,m,Phosphorus as P,0.02700000,mg/l,I,I=result is between MDL and PQL,1539C,LAKE ANNIE,"Annie, Lake (160723)",1/14/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Alkalinity, Total (total hydroxide+carbonate+bicarbonate)",24.20000000,mg/l CaCO3,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Chloride,28.20000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Chlorophyll a, corrected for pheophytin",17.60000000,ug/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Chlorophyll a, uncorrected for pheophytin",18.50000000,ug/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Phosphorus, phosphate (PO4) as P",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Sulfur, sulfate (SO4) as SO4",31.90000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Total Suspended Solids (TSS),6.80000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,True Color,15.00000000,PCU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Turbidity,4.90000000,NTU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Dissolved oxygen (DO),8.73000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Dissolved oxygen saturation,94.60000000,percent (%),,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,pH,7.16000000,None,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Secchi disk depth,2.62464000,ft,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,Specific conductance,222.50000000,umho,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Temperature, water",19.20000000,deg C,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Temperature, water",66.56000000,deg F,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,00:00:00,0.5,,Trophic State Index: Florida DEP,53.00000000,None,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,00:00:00,0.5,m,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.03200000,mg/l,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Nitrogen, Nitrate (NO3) as N",0.02200000,mg/l,I,I=result is between MDL and PQL,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Nitrogen, Kjeldahl",1.20000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,08:50:00.000000,0.5,m,"Nitrogen, ammonia as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,11/13/2025,00:00:00,0.5,m,Nitrogen,1.22200000,mg/l,,Water Institute Calculated: TKN + NO3,1539C,LAKE ANNIE,"Annie, Lake (160723)",11/13/2025 12:00:00 AM
